update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,f_avg_high_school_physics,f_ratio_high_school_physics,f_avg_computer_security,f_ratio_computer_security,f_avg_international_law,f_ratio_international_law,loss,target_token_id
0_54,sft,0,54,19.559839248657227,1.6877357959747314,1.6296123266220093,8.125,1.3524017333984375,0.86,2.6232421875,1.0,1.68037109375,0.9,0.92216796875,0.775,0.96934814453125,0.85,0.5668792724609375,0.775,8.138687133789062,45
0_55,sft,0,55,13.842419624328613,0.12815822660923004,0.00014495849609375,0.0118408203125,0.00622802734375,0.030000000000000006,-0.00322265625,0.0,0.01669921875,0.025,0.00908203125,0.075,-0.00279541015625,0.0,0.011376953125,0.05,0.011858798563480377,4306
0_56,sft,0,56,6.927130222320557,0.0037461118772625923,1.7881393432617188e-07,0.0003528594970703125,0.0052069091796875,0.034999999999999996,0.012109375,0.075,0.00751953125,0.0,0.003076171875,0.05,-0.004541015625,0.0,0.0078704833984375,0.05,0.0003526780928950757,689
0_57,sft,0,57,3.4637415409088135,0.31605350971221924,0.0014802217483520508,0.0380859375,0.009814453124999999,0.04,0.0126953125,0.025,0.0220703125,0.075,0.01875,0.05,-0.00687255859375,0.025,0.00242919921875,0.025,0.038042791187763214,6216
0_58,sft,0,58,1.7509137392044067,1.6884222030639648,0.09501534700393677,0.349609375,0.06804626464843751,0.36499999999999994,0.0861328125,0.475,0.14736328125,0.575,0.06240234375,0.425,0.011358642578125,0.15,0.0329742431640625,0.2,0.34982404112815857,220
0_59,sft,0,59,1.0502616167068481,0.4209071397781372,0.003820955753326416,0.0595703125,0.0282635498046875,0.175,0.03671875,0.175,0.06630859375,0.3,0.00078125,0.125,0.012078857421875,0.075,0.0254302978515625,0.2,0.059586599469184875,2166
0_60,sft,0,60,0.5549159646034241,1.1872749328613281,1.592964768409729,6.65625,-0.08295471191406249,0.335,-0.11220703125,0.2,-0.211328125,0.225,-0.20703125,0.375,0.05042724609375,0.45,0.0653656005859375,0.425,6.644918441772461,14
0_61,sft,0,61,3.6055827140808105,0.20620837807655334,0.001095592975616455,0.0301513671875,0.0034234619140625006,0.04,0.00927734375,0.0,-0.0046875,0.0,0.00361328125,0.1,-0.0021728515625,0.025,0.0110870361328125,0.075,0.030162161216139793,17
0_62,sft,0,62,1.8178670406341553,1.0189330577850342,0.4441104531288147,0.68359375,-0.0378131103515625,0.11000000000000001,-0.026171875,0.2,-0.0697265625,0.075,-0.087060546875,0.075,0.01182861328125,0.125,-0.0179351806640625,0.075,0.6840080618858337,284
0_63,sft,0,63,1.2507303953170776,0.2272529900074005,1.9324904680252075,4.84375,1.7190737915039058,0.765,2.0109375,0.8,1.3623046875,0.775,1.812109375,0.8,0.7483383178710937,0.475,2.6616790771484373,0.975,4.839077472686768,1134
0_64,sft,0,64,3.0472402572631836,0.004684254992753267,3.5762786865234375e-07,0.0004749298095703125,0.0049615478515625,0.030000000000000006,0.0015625,0.0,0.01328125,0.025,0.003271484375,0.075,-0.002923583984375,0.0,0.0096160888671875,0.05,0.0004752936656586826,2166
0_65,sft,0,65,1.523857593536377,0.0007169313030317426,0.0,6.0558319091796875e-05,0.0012518310546874999,0.025,-0.00419921875,0.0,-0.003125,0.025,0.013671875,0.075,-0.001763916015625,0.0,0.0016754150390625,0.025,6.0794889577664435e-05,14
0_66,sft,0,66,0.7619590759277344,7.317210838664323e-05,0.0,5.0067901611328125e-06,0.0031896972656250003,0.015000000000000003,-0.001171875,0.0,0.0033203125,0.0,0.010302734375,0.05,-0.00076904296875,0.0,0.004266357421875,0.025,4.887569048150908e-06,17
0_67,sft,0,67,0.38098204135894775,1.964663533726707e-05,0.0,1.1920928955078125e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0728830375228426e-06,28
0_68,sft,0,68,0.19049161672592163,2.198462880187435e-06,0.0,1.1920928955078125e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.1920928244535389e-07,1187
0_69,sft,0,69,0.09524586796760559,0.004225409124046564,2.980232238769531e-07,0.000438690185546875,0.0030664062499999997,0.02,-0.00146484375,0.025,9.765625e-05,0.0,0.0064453125,0.075,0.00518798828125,0.0,0.00506591796875,0.0,0.0004395472351461649,2511
0_70,sft,0,70,0.04784227907657623,0.022048838436603546,5.304813385009766e-06,0.0020751953125,0.004031982421875,0.025,0.0052734375,0.05,0.01181640625,0.0,-0.001953125,0.05,0.00162353515625,0.025,0.003399658203125,0.0,0.00206864345818758,1187
0_71,sft,0,71,0.024958737194538116,0.4938303828239441,0.007667124271392822,0.080078125,0.004461669921875,0.05,-0.00341796875,0.025,0.01416015625,0.025,0.009033203125,0.125,-0.00029296875,0.025,0.002825927734375,0.05,0.07995624840259552,27203
0_72,sft,0,72,0.05251843109726906,0.4229147434234619,0.00644838809967041,0.07470703125,0.005433349609375001,0.039999999999999994,-0.00498046875,0.0,0.00927734375,0.025,0.02109375,0.15,-0.00535888671875,0.025,0.007135009765625,0.0,0.07489209622144699,304
0_73,sft,0,73,0.06361272931098938,0.1600785255432129,0.0011458396911621094,0.0274658203125,0.0032427978515625006,0.03,-0.00673828125,0.0,0.00810546875,0.025,0.01064453125,0.075,-0.005328369140625,0.025,0.0095306396484375,0.025,0.027454892173409462,3297
0_74,sft,0,74,0.04553927481174469,0.9682735204696655,0.15356796979904175,0.380859375,0.0378082275390625,0.19,0.019921875,0.075,0.072265625,0.425,0.06240234375,0.275,-0.001995849609375,0.05,0.0364471435546875,0.125,0.3812727928161621,627
0_75,sft,0,75,0.21319931745529175,2.603578567504883,0.6846684217453003,1.515625,0.022740478515625,0.22999999999999998,-0.04013671875,0.075,0.044921875,0.3,0.14013671875,0.525,-0.0140411376953125,0.1,-0.0171783447265625,0.15,1.517289638519287,45
0_76,sft,0,76,0.8644121885299683,0.003250268753618002,5.960464477539063e-08,0.0002841949462890625,0.0040087890624999995,0.04,0.0021484375,0.025,0.002734375,0.05,0.00927734375,0.05,-0.003094482421875,0.025,0.008978271484375,0.05,0.00028379703871905804,4306
0_77,sft,0,77,0.43234819173812866,0.00017341495549771935,0.0,1.2278556823730469e-05,-0.001524658203125,0.005,-0.00625,0.0,-0.00234375,0.0,-9.765625e-05,0.025,-0.000396728515625,0.0,0.00146484375,0.0,1.2516897186287679e-05,689
0_78,sft,0,78,0.2161802351474762,0.1824612021446228,0.0004942417144775391,0.021728515625,0.004758911132812499,0.06000000000000001,0.011328125,0.05,0.0056640625,0.075,0.01796875,0.125,-0.006170654296875,0.025,-0.0049957275390625,0.025,0.021772995591163635,6216
0_79,sft,0,79,0.1189543753862381,0.6958047747612,0.059115588665008545,0.216796875,-0.0032757568359374997,0.045,-0.0080078125,0.025,-0.00556640625,0.025,-0.002294921875,0.075,-0.00234375,0.05,0.0018341064453125,0.05,0.2169766128063202,220
0_80,sft,0,80,0.16787563264369965,0.37543773651123047,0.01912325620651245,0.1064453125,0.019205932617187498,0.085,0.0115234375,0.05,0.04443359375,0.15,0.021728515625,0.1,0.010589599609375,0.05,0.0077545166015625,0.075,0.1062474474310875,2166
0_81,sft,0,81,0.13716046512126923,0.47445976734161377,1.5700962543487549,2.265625,0.03167236328125,0.33999999999999997,0.101171875,0.575,0.02724609375,0.375,-0.048828125,0.2,0.012744140625,0.175,0.06602783203125,0.375,2.2580370903015137,10
0_82,sft,0,82,1.2013927698135376,0.038668129593133926,7.236003875732422e-05,0.006103515625,-0.00031860351562499993,0.02,-0.0017578125,0.0,0.00068359375,0.025,0.008056640625,0.075,-0.002459716796875,0.0,-0.00611572265625,0.0,0.006094324868172407,1187
0_83,sft,0,83,0.6037481427192688,0.28345364332199097,0.011685788631439209,0.080078125,0.007175292968749999,0.06,0.0046875,0.0,0.02021484375,0.125,0.008056640625,0.075,-0.00921630859375,0.025,0.0121337890625,0.075,0.08030042052268982,284
0_84,sft,0,84,0.3419131338596344,0.25782331824302673,0.0054520368576049805,0.058349609375,-0.0038775634765624996,0.03,-0.01708984375,0.0,-0.00439453125,0.0,0.0154296875,0.075,-0.008746337890625,0.05,-0.0045867919921875,0.025,0.058275263756513596,1134
0_85,sft,0,85,0.2001313716173172,3.056607602047734e-05,0.0,2.1457672119140625e-06,7.8125e-05,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.000390625,0.0,-0.0,0.0,2.0265558760002023e-06,2166
0_86,sft,0,86,0.10006675869226456,0.0005838674842379987,0.0,5.14984130859375e-05,0.00013671875000000004,0.039999999999999994,0.00146484375,0.05,-0.01025390625,0.0,0.003369140625,0.125,0.000543212890625,0.0,0.005560302734375,0.025,5.149708886165172e-05,10
0_87,sft,0,87,0.05005912855267525,1.2292036444705445e-05,0.0,7.152557373046875e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.152555099310121e-07,1187
0_88,sft,0,88,0.025029921904206276,6.439070602937136e-06,0.0,2.384185791015625e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,3.576278118089249e-07,28
0_89,sft,0,89,0.012515080161392689,4.880155870523595e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5332
0_90,sft,0,90,0.006257540080696344,0.00034168336424045265,0.0,2.562999725341797e-05,0.003870849609375,0.02,0.004296875,0.025,0.002734375,0.0,0.008349609375,0.05,-0.001708984375,0.0,0.005682373046875,0.025,2.5748875486897305e-05,2511
0_91,sft,0,91,0.003141585038974881,0.022227469831705093,5.245208740234375e-06,0.0021514892578125,0.0054327392578124994,0.030000000000000006,0.0015625,0.025,0.00947265625,0.0,0.002294921875,0.075,0.008563232421875,0.05,0.0052703857421875,0.0,0.0021495348773896694,5332
0_92,sft,0,92,0.0026465370319783688,0.5554080009460449,0.012542486190795898,0.103515625,0.0073876953125,0.05,0.00908203125,0.025,0.01767578125,0.075,0.0083984375,0.05,-0.0028564453125,0.05,0.004638671875,0.05,0.10371329635381699,27203
0_93,sft,0,93,0.053081076592206955,0.5097694396972656,0.032727181911468506,0.1474609375,0.0089581298828125,0.05,0.00673828125,0.05,0.02060546875,0.075,0.013134765625,0.075,-0.0041259765625,0.0,0.0084381103515625,0.05,0.14767494797706604,31155
