update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,f_avg_high_school_physics,f_ratio_high_school_physics,f_avg_computer_security,f_ratio_computer_security,f_avg_international_law,f_ratio_international_law,loss,target_token_id
0_55,sft,0,55,31.602659225463867,0.0031072692945599556,1.9993175268173218,20.375,0.016636018753051766,0.325,-0.0318603515625,0.425,0.271826171875,0.625,0.09506454467773437,0.275,-0.21455831527709962,0.15,-0.037291955947875974,0.15,20.312841415405273,45
0_56,sft,0,56,25.98883056640625,0.0017226514173671603,0.0,0.00016307830810546875,0.0074705791473388666,0.085,0.008447265625,0.125,0.0051025390625,0.075,0.005356597900390625,0.075,0.002502250671386719,0.05,0.015944242477416992,0.1,0.0001627074379939586,4212
0_57,sft,0,57,12.994497299194336,7.985509728314355e-05,0.0,5.7220458984375e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.722029527532868e-06,685
0_58,sft,0,58,6.497251510620117,0.0023730085231363773,1.1920928955078125e-07,0.00022983551025390625,-0.007031078338623045,0.09,-0.0193603515625,0.125,-0.00791015625,0.1,-0.005248260498046875,0.075,-0.01887025833129883,0.05,0.01623363494873047,0.1,0.00022968991834204644,6088
0_59,sft,0,59,3.2487406730651855,0.35060402750968933,0.023026227951049805,0.11376953125,0.00939594268798828,0.12,0.0210205078125,0.25,0.00205078125,0.125,0.00663299560546875,0.075,0.004870891571044922,0.05,0.012404537200927735,0.1,0.1139904037117958,220
0_60,sft,0,60,1.6812551021575928,0.0001522835809737444,0.0,1.2040138244628906e-05,0.0004870223999023437,0.01,0.005419921875,0.025,-0.0048828125,0.0,-0.000732421875,0.0,-0.00047607421875,0.0,0.003106498718261719,0.025,1.2040065485052764e-05,19
0_61,sft,0,61,0.8406335711479187,1.422279893859013e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,23
0_62,sft,0,62,0.42031678557395935,0.009823995642364025,1.9963246583938599,7.25,-0.21689818382263182,0.11499999999999999,-0.5080810546875,0.075,-0.31900634765625,0.15,-0.113507080078125,0.175,-0.08388395309448242,0.075,-0.06001248359680176,0.1,7.25112771987915,14
0_63,sft,0,63,3.835158348083496,2.9001313350818236e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,17
0_64,sft,0,64,1.917579174041748,0.0018739727092906833,1.1920928955078125e-07,0.00019073486328125,0.012488746643066408,0.13,0.017919921875,0.225,0.01591796875,0.175,0.00292510986328125,0.1,0.02021017074584961,0.1,0.005470561981201172,0.05,0.00019047829846385866,284
