update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,loss,target_token_id
0_63,sft,0,63,0.0,2.578125,1.34375,4.84375,3.758984375,1.0,3.64796875,1.0,3.87,1.0,4.836513519287109,28759
0_64,sft,0,64,4.84375,0.30078125,0.0,0.03466796875,0.603046875,0.92,0.55578125,0.92,0.6503125,0.92,0.03461134061217308,3196
0_65,sft,0,65,1.6328125,0.048583984375,0.0,0.005889892578125,-0.010546875,0.0,-0.0075,0.0,-0.01359375,0.0,0.0058944206684827805,515
0_66,sft,0,66,0.70703125,0.58984375,0.0078125,0.08251953125,0.1857421875,0.66,0.1746875,0.68,0.196796875,0.64,0.08237143605947495,3910
0_67,sft,0,67,0.373046875,1.546875,0.9765625,1.5,4.958671875,1.0,4.74359375,1.0,5.17375,1.0,1.4998446702957153,28705
0_68,sft,0,68,0.95703125,1.0234375,0.109375,0.330078125,4.175078125000001,0.99,4.23734375,1.0,4.1128125,0.98,0.3304544985294342,28781
0_69,sft,0,69,0.640625,0.0947265625,0.0,0.010986328125,0.11296875,0.49,0.09453125,0.38,0.13140625,0.6,0.010984900407493114,28783
0_70,sft,0,70,0.3203125,0.7109375,1.796875,8.0,6.554921875,1.0,6.44234375,1.0,6.6675,1.0,7.992753982543945,28748
0_71,sft,0,71,4.1875,1.2890625,0.0625,0.26171875,-0.14953125,0.27,-0.18203125,0.26,-0.11703125,0.28,0.262035608291626,28750
0_72,sft,0,72,2.203125,2.171875,0.462890625,0.9296875,3.902578125,1.0,3.76671875,1.0,4.0384375,1.0,0.9294781684875488,327
0_73,sft,0,73,1.5703125,0.390625,1.859375,13.4375,6.388359375,1.0,6.46234375,1.0,6.314375,1.0,13.4158935546875,2087
0_74,sft,0,74,7.5,3.921875,0.9921875,3.171875,4.844609374999999,0.99,5.02859375,1.0,4.660625,0.98,3.1657001972198486,28781
0_75,sft,0,75,5.34375,0.53515625,0.00390625,0.076171875,-0.02703125,0.14,-0.0353125,0.14,-0.01875,0.14,0.07623562961816788,28783
0_76,sft,0,76,2.703125,1.3359375,1.28125,2.09375,3.196484375,1.0,2.99578125,1.0,3.3971875,1.0,2.0895872116088867,28748
0_77,sft,0,77,2.40625,0.134765625,0.0,0.0177001953125,-0.029921875,0.01,-0.02046875,0.0,-0.039375,0.02,0.01764949969947338,28750
0_78,sft,0,78,1.2109375,1.140625,1.546875,3.234375,6.2583593749999995,1.0,6.24296875,1.0,6.27375,1.0,3.2355899810791016,28746
0_79,sft,0,79,2.21875,0.515625,0.01171875,0.0927734375,0.11210937500000001,0.54,0.16875,0.64,0.05546875,0.44,0.09293066710233688,28750
0_80,sft,0,80,1.15625,0.07763671875,0.0,0.00811767578125,-0.010859375000000001,0.0,-0.01109375,0.0,-0.010625,0.0,0.008133740164339542,28781
0_81,sft,0,81,0.58203125,1.171875,0.0390625,0.203125,-0.033046875,0.17,-0.00765625,0.26,-0.0584375,0.08,0.2029821276664734,4060
0_82,sft,0,82,0.392578125,1.4921875,1.5546875,7.59375,5.148046875,1.0,4.89921875,1.0,5.396875,1.0,7.5793657302856445,28750
0_83,sft,0,83,4.0,0.55078125,0.0078125,0.08837890625,-0.15339843749999998,0.01,-0.1596875,0.0,-0.147109375,0.02,0.08861035108566284,28781
0_84,sft,0,84,2.046875,1.765625,0.138671875,0.43359375,2.362265625,1.0,2.35296875,1.0,2.3715625,1.0,0.4329474866390228,533
0_85,sft,0,85,1.234375,0.0283203125,0.0,0.002716064453125,-0.0022656250000000003,0.0,-0.004375,0.0,-0.00015625,0.0,0.0027178514283150434,2430
0_86,sft,0,86,0.62109375,1.3046875,0.197265625,0.46875,-0.18867187500000002,0.15000000000000002,-0.26578125,0.14,-0.1115625,0.16,0.46917232871055603,297
0_87,sft,0,87,0.54296875,1.3359375,0.80859375,1.1796875,6.422109375,1.0,6.30546875,1.0,6.53875,1.0,1.1820487976074219,2246
0_88,sft,0,88,0.86328125,1.765625,0.18359375,0.5,0.67984375,0.92,0.72109375,0.92,0.63859375,0.92,0.49927204847335815,28723
0_89,sft,0,89,0.6796875,2.109375,0.169921875,0.5078125,5.627890625,1.0,5.52109375,1.0,5.7346875,1.0,0.5069172382354736,13
0_90,sft,0,90,0.59375,3.34375,0.94140625,2.71875,2.867734375,0.99,2.89109375,1.0,2.844375,0.98,2.7212562561035156,28759
0_91,sft,0,91,1.65625,0.032958984375,0.0,0.002899169921875,-0.00031249999999999984,0.0,-0.00453125,0.0,0.00390625,0.0,0.002901512896642089,3196
0_92,sft,0,92,0.828125,0.0289306640625,0.0,0.0028533935546875,-0.00390625,0.01,-0.00390625,0.02,-0.00390625,0.0,0.0028473094571381807,515
0_93,sft,0,93,0.416015625,0.6640625,0.0078125,0.091796875,-0.0982421875,0.0,-0.0778125,0.0,-0.118671875,0.0,0.09174415469169617,3910
0_94,sft,0,94,0.25390625,1.734375,0.181640625,0.50390625,-0.2125390625,0.15000000000000002,-0.205078125,0.16,-0.22,0.14,0.5031546950340271,28705
0_95,sft,0,95,0.37890625,0.56640625,0.0390625,0.169921875,-0.0075,0.36,0.06265625,0.52,-0.07765625,0.2,0.16965942084789276,28781
0_96,sft,0,96,0.275390625,0.048828125,0.0,0.005035400390625,-0.0028125,0.01,-0.005,0.02,-0.000625,0.0,0.005020985845476389,28783
0_97,sft,0,97,0.1396484375,1.796875,0.8828125,1.71875,2.79234375,0.99,2.81578125,1.0,2.76890625,0.98,1.7172200679779053,28806
0_98,sft,0,98,0.9296875,0.291015625,0.00390625,0.048828125,0.002265625,0.06,0.00765625,0.08,-0.003125,0.04,0.04873732477426529,28750
0_99,sft,0,99,0.48828125,0.033203125,0.0,0.0033721923828125,-0.008046875,0.0,-0.00609375,0.0,-0.01,0.0,0.003372340928763151,28781
0_100,sft,0,100,0.24609375,1.0078125,0.3203125,0.5546875,0.016953125,0.27,0.0190625,0.32,0.01484375,0.22,0.5545540452003479,327
0_101,sft,0,101,0.400390625,1.0703125,0.1953125,0.427734375,0.319453125,0.7,0.33671875,0.66,0.3021875,0.74,0.42824259400367737,2087
0_102,sft,0,102,0.4140625,0.44140625,0.00390625,0.07470703125,-0.035390624999999995,0.09,-0.02703125,0.1,-0.04375,0.08,0.07487671822309494,28781
