layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_dataset,right_dataset,left_domain,right_domain
0,0,0,189,0.38968974351882935,0.4222802221775055,0.9526085257530212,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,66,42,67,43,512,25,50302,423,":
",:,Lu, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,1,1,189,-0.15642577409744263,-0.1472267508506775,1.0967756509780884,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,67,42,68,43,50302,25,30637,423,Lu,:,igi, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,2,2,189,-0.16218575835227966,-0.12717939913272858,1.3164130449295044,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,68,42,69,43,30637,25,15754,423,igi,:, Gi, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,3,3,189,-0.08664709329605103,-0.08209178596735,1.0895583629608154,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,69,42,70,43,15754,25,5808,423, Gi,:,ura, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,4,4,189,-0.05662035942077637,-0.04646588861942291,1.257866621017456,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,70,42,71,43,5808,25,574,423,ura,:, was, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,5,5,189,0.1360522210597992,0.1656455099582672,0.8478561639785767,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,71,42,72,43,574,25,459,423, was,:, an, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,6,6,189,0.1982826292514801,0.20907142758369446,0.9790078997612,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,72,42,73,43,459,25,459,423, an,:, an, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,7,7,189,0.1982826292514801,0.20907142758369446,0.9790078997612,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,73,42,74,43,459,25,15155,423, an,:, Italian, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,8,8,189,-0.06465207785367966,-0.06506985425949097,1.0256493091583252,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,74,42,75,43,15155,25,24490,423, Italian,:, engineer, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,9,9,189,-0.139021635055542,-0.1261572390794754,1.1375393867492676,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,75,42,76,43,24490,25,323,423, engineer,:, and, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,10,10,189,0.3525437116622925,0.36274537444114685,1.0032457113265991,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,76,42,77,43,323,25,117729,423, and,:, archit, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,11,11,189,-0.263056218624115,-0.2315956950187683,1.17250394821167,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,77,42,78,43,117729,25,1599,423, archit,:,ected, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,12,12,189,-0.16661067306995392,-0.14054495096206665,1.2237249612808228,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,78,42,79,43,1599,25,889,423,ected,:, who, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,13,13,189,0.05415615439414978,0.05082203447818756,1.0999982357025146,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,79,42,80,43,889,25,12439,423, who,:, lived, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,14,14,189,-0.10218183696269989,-0.09282815456390381,1.1362926959991455,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,80,42,81,43,12439,25,505,423, lived,:, from, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,15,15,189,0.20527802407741547,0.21602389216423035,0.9809274673461914,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,81,42,82,43,505,25,220,423, from,:, , D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,16,16,189,0.4630284309387207,0.39551204442977905,1.2084931135177612,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,82,42,83,43,220,25,11128,423, ,:,179, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,17,17,189,-0.08992080390453339,-0.09147275239229202,1.0147631168365479,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,83,42,84,43,11128,25,20,423,179,:,5, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,18,18,189,0.08695479482412338,0.1034916341304779,0.8673302531242371,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,84,42,85,43,20,25,311,423,5,:, to, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,19,19,189,0.3006751239299774,0.3316003978252411,0.9360061287879944,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,85,42,86,43,311,25,220,423, to,:, , D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,20,20,189,0.4630284309387207,0.39551204442977905,1.2084931135177612,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,86,42,87,43,220,25,9714,423, ,:,186, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,21,21,189,-0.08809073269367218,-0.08936170488595963,1.0175950527191162,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,87,42,88,43,9714,25,20,423,186,:,5, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,22,22,189,0.08695479482412338,0.1034916341304779,0.8673302531242371,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,88,42,89,43,20,25,323,423,5,:, and, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,23,23,189,0.3525437116622925,0.36274537444114685,1.0032457113265991,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,89,42,90,43,323,25,574,423, and,:, was, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,24,24,189,0.1360522210597992,0.1656455099582672,0.8478561639785767,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,90,42,91,43,574,25,11495,423, was,:, famous, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,25,25,189,-0.07660659402608871,-0.0695183053612709,1.1375309228897095,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,91,42,92,43,11495,25,369,423, famous,:, for, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,26,26,189,0.27619603276252747,0.29857757687568665,0.954896867275238,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,92,42,93,43,369,25,279,423, for,:, the, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,27,27,189,0.28897738456726074,0.31047752499580383,0.9607931971549988,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,93,42,94,43,279,25,2955,423, the,:, design, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,28,28,189,0.021432045847177505,0.01919836923480034,1.1523793935775757,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,94,42,95,43,2955,25,323,423, design,:, and, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,29,29,189,0.3525437116622925,0.36274537444114685,1.0032457113265991,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,95,42,96,43,323,25,8246,423, and,:, construction, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,30,30,189,-0.05358859524130821,-0.04779243841767311,1.1574690341949463,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,96,42,97,43,8246,25,315,423, construction,:, of, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,31,31,189,0.29712390899658203,0.3369651138782501,0.9102252125740051,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,97,42,98,43,315,25,279,423, of,:, the, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,32,32,189,0.28897738456726074,0.31047752499580383,0.9607931971549988,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,98,42,99,43,279,25,2132,423, the,:, second, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,33,33,189,0.02353247068822384,0.021516872569918633,1.128975749015808,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,99,42,100,43,2132,25,25288,423, second,:, suspension, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,34,34,189,-0.1248786672949791,-0.1039486899971962,1.240125060081482,0.9687322974205017,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,100,42,101,43,25288,25,14497,423, suspension,:, bridge, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
